name	url	description
Google Antigravity	https://antigravity.google	AI-powered agentic development platform and IDE; agent-first experience, cross-surface agents, tab autocompletion
GPT Engineer	https://github.com/AntonOsika/gpt-engineer	Transforms natural language into executable code; boosts development efficiency
GPTConsole	https://www.gptconsole.ai	Revolutionize app development with AI agents for seamless automation
Grok Build 0.1	https://x.ai	API/CLI agent by xAI; 1M token context window, live X data access via Grok 4.3 integration
Inngest	https://www.inngest.com	Build and automate event-driven, serverless workflows effortlessly
JBOX	https://theresanaiforthat.com/ai/jbox	Turn one prompt into a full-stack app; agents, API, app builder, code assistant
JetBrains AI Assistant	https://www.jetbrains.com	Built-in AI assistant for JetBrains IDEs; integrated with inspections, refactoring tools, debugger; multi-LLM support
JetBrains Junie	https://www.jetbrains.com/junie	AI coding agent deeply integrated into IntelliJ, PyCharm, WebStorm, GoLand; GitHub integration
KaneAI	https://www.lambdatest.com/kane-ai	AI-driven tool for creating, debugging, and evolving software tests
Kimi K3	https://www.moonshot.ai	Moonshot 2.8-trillion-parameter open-weight model with 1M-token context and native vision for self-hosted coding
Kiro	https://kiro.dev	AI IDE for structured, spec-driven coding from prototype to production; agent hooks, MCP integration, autopilot mode
Kusho	https://kusho.ai	Revolutionizes API testing with AI-generated suites, enhancing developer efficiency
Lightrun	https://lightrun.com	Enhance debugging and monitoring in real-time, seamlessly
LLMStack	https://llmstack.ai	Build, deploy AI apps easily; no-code, multi-model integration
Lovable	https://lovable.dev	The world's first AI Full Stack Engineer that builds software 20x faster
MarsCode	https://marscode.com	Revolutionize coding: real-time assistance, error detection, code optimization
MarsX	https://marsx.dev	Unleash rapid app development with AI, NoCode, and MicroApps ecosystem
MetaGPT	https://mgx.dev	Transforms written prompts into fully functional software
Micro Agent	https://github.com/micro-agent/micro-agent	An AI Agent that writes and fixes test-driven code from natural language descriptions.
Monica	https://monica.im	AI assistant revolutionizing chat, writing, coding, and more
Muse Code	https://musecode.ai	An independent guide to Meta's terminal-based coding agent.
Ninja AI	https://myninja.ai	Multi-agent system for research, writing, and coding
Nullify AI	https://nullify.ai	AI-driven tool for seamless, efficient vulnerability management and prioritization
OpenCode	https://opencode.ai	Open-source, provider-agnostic coding agent built by SST team; 75+ LLM providers including local via Ollama; Go + Bubble Tea TUI
OpenHands	https://www.openhands.dev	Open-source, model-agnostic coding agent platform from All Hands AI; self-hosted, sandboxed Docker/Kubernetes
Orca	https://www.onorca.dev	Open-source Agent Development Environment for parallel AI coding agents in isolated git worktrees
Pgrammer	https://www.pgrammer.com	AI-driven platform personalizing coding interview preparation
Pi Coding Agent	https://pi.dev	Minimal, deeply customizable terminal coding agent harness; 15+ AI providers; MIT licensed open-source
Potpie AI	https://potpie.ai	Build custom AI agents for your codebase in minutes
Qoder	https://qoder.com	Agentic coding platform for real software development with AI agents; context engineering, spec-driven development
Qodo	https://qodo.ai	Turns PR history into enforceable code standards; AI code assistant and agents
Replit Agent	https://replit.com/ai	AI-powered coding assistant integrated into Replit's browser-based IDE
Retool	https://retool.com	Build custom internal apps effortlessly with robust integration tools
Sai by Simular	https://www.sai.work/claude-code	Workflow agent that automates developer coordination — scanning PRs, standup summaries, CI/CD monitoring, release notes
Second.dev	https://www.second.dev	Revolutionize codebase maintenance with AI-driven automated upgrades
Shakespeare	https://shakespeare.diy	Build, edit, and deploy fully customizable AI websites
Sourcegraph	https://sourcegraph.com	Revolutionize code management with AI-assisted searches and insights
Sourcegraph Amp	https://ampcode.com	Agentic coding tool built on Sourcegraph code search; unconstrained token usage; semantic code graph for cross-repo
Sourcegraph Cody	https://sourcegraph.com	Code search engine with AI assistance; searches across all repositories; Context Filters for admin control
Spellbox	https://spellbox.app	Transform prompts into code with AI, enhancing productivity and learning
Tabnine	https://www.tabnine.com	Enterprise security leader; SaaS, VPC, on-premises, air-gapped deployment; SOC 2, ISO 27001, zero code retention
TeamSmart AI	https://www.teamsmart.ai	Boost productivity with customizable AI assistants in a Chrome extension
Trae	https://www.trae.ai	AI-powered IDE for enhanced developer collaboration and efficiency; AI agents, tool integration, smart autocompletion
TraeAI	https://www.trae.ai	Streamline coding with real-time suggestions and corrections
v0	https://v0.dev	AI-powered UI generator for rapid prototyping and development
Vellum	https://www.vellum.ai	Personal AI assistant for developer work — code, tickets, communications with persistent memory across sessions
Verdent	https://www.verdent.ai	Build your product with plain words in minutes; multi-model workflow, GPT-5 code review, DiffLens, agent orchestration
VibeScan	https://vibescan.io	Ensure AI code quality with real-time performance insights
Visual Studio Code	https://code.visualstudio.com	Free AI code editor for building, debugging, and managing software projects; AI agents for planning, coding, debugging
Warp AI	https://www.warp.dev	AI-enhanced terminal with command suggestions, error explanations, and automation
WeWeb	https://weweb.io	Create web apps quickly with AI and no-code
Windsurf	https://windsurf.com	IDE-embedded agent with Cascade for multi-file edits, Codemaps, SWE-1.6 model, Devin cloud handoff
Wondershare	https://www.wondershare.com	Creative suite with AI-assisted development tools for full-stack projects
WPTurbo	https://wpturbo.dev	AI-driven WordPress code generation for developers, enhancing speed and customization
Z.ai	https://chat.z.ai	Free AI assistant for presentations, writing, and coding; code generation and explanation
