github_repo	name	url	license	maker	owner_type	description	language	stars	homepage	created_at	pushed_at	archived	topics	error
PawanOsman/OpenCursor	OpenCursor	https://github.com/PawanOsman/OpenCursor	MIT	PawanOsman	User	Open-source Cursor-like AI coding agent for VS Code — agentic chat, multi-provider LLMs (OpenAI, Ollama, llama.cpp), semantic search, and MCP support	TypeScript	5999	https://marketplace.visualstudio.com/items?itemName=pkrd.ocursor	2022-12-06T16:39:11Z	2026-08-15T08:46:31Z	False	agent;ai;code;coder;cursor;extension;ide;vscode	
meltylabs/melty	Melty	https://github.com/meltylabs/melty	MIT	meltylabs	Organization	Chat first code editor. To download the packaged app:	TypeScript	5449	https://docs.google.com/forms/d/e/1FAIpQLSc6uBe0ea26q7Iq0Co_q5fjW2nypUl8G_Is5M_6t8n7wZHuPA/viewform	2024-09-02T00:01:16Z	2024-11-14T00:37:33Z	False		
kodu-ai/claude-coder	Kodu	https://github.com/kodu-ai/claude-coder	NOASSERTION	kodu-ai	Organization	Kodu is an autonomous coding agent that lives in your IDE. It is a VSCode extension that can help you build your dream project step by step by leveraging the latest technologies in automated coding agents 	TypeScript	5233	https://www.kodu.ai	2024-09-01T13:42:47Z	2025-04-30T10:21:02Z	False	chatgpt;claude;coding-agents;llm;openai;vscode;vscode-extension	
mistralai/mistral-vibe	Mistral Vibe	https://github.com/mistralai/mistral-vibe	Apache-2.0	mistralai	Organization	Minimal CLI coding agent by Mistral	Python	4850		2025-12-08T18:56:59Z	2026-08-18T14:13:33Z	False		
gptme/gptme	gptme	https://github.com/gptme/gptme	MIT	gptme	Organization	Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web. Make your own persistent autonomous agent on top!	Python	4390	https://gptme.org/docs/	2023-03-24T16:25:01Z	2026-08-20T00:57:26Z	False	agent;agents;ai-agents;ai-assistant;anthropic;chatbot;chatgpt;cli;code-generation;llamacpp;llm;llm-agent;llm-apps;openai;openrouter;rag	
CommandCodeAI/command-code	Command Code	https://github.com/CommandCodeAI/command-code	None	CommandCodeAI	Organization	Command Code AI	None	3737	https://commandcode.ai	2017-12-20T09:45:01Z	2026-08-15T20:32:49Z	False	ai;ai-agent;anthropic;cli;coding-agent;command-code;command-line;command-line-tool;deepseek;glm;harness;kimi;openai	
entropy-research/Devon	Devon	https://github.com/entropy-research/Devon	AGPL-3.0	entropy-research	Organization	Devon: An open-source pair programmer	Python	3453		2024-03-15T04:52:31Z	2025-05-26T05:47:27Z	False	agent;agent-based-framework;agent-based-model;ai;ai-developer;ai-software;ai-software-engineer;code-assistant;code-generation;developer-tool;developer-tools;gpt-4;gpt-4o;groq;llama3;ollama;vscode	
superagent-ai/grok-cli	Grok CLI	https://github.com/superagent-ai/grok-cli	MIT	superagent-ai	Organization	An open-source coding agent for the Grok API	TypeScript	3416		2025-07-14T07:57:39Z	2026-07-06T14:05:33Z	False	agents;ai;cli;code;coding-agent;grok;xai	
AutoCodeRoverSG/auto-code-rover	AutoCodeRover	https://github.com/AutoCodeRoverSG/auto-code-rover	NOASSERTION	AutoCodeRoverSG	Organization	A project structure aware autonomous software engineer aiming for autonomous program improvement. Resolved 37.3% tasks (pass@1) in SWE-bench lite and 46.2% tasks (pass@1) in SWE-bench verified with each task costs less than $0.7.	Python	3099		2024-04-08T05:34:14Z	2025-04-24T07:58:24Z	False		
letta-ai/letta-code	Letta Code	https://github.com/letta-ai/letta-code	Apache-2.0	letta-ai	Organization	Stateful agents that are like people, with memory, identity, and the ability to learn and adapt	TypeScript	3059	https://www.letta.com/agent	2025-10-25T04:17:51Z	2026-08-20T00:32:34Z	False	agent-memory;ai;claude;codex;continual-learning;letta;memgpt;stateful-agents	
ColeMurray/background-agents	Background Agents	https://github.com/ColeMurray/background-agents	MIT	ColeMurray	User	An open-source background agents coding system	TypeScript	2666	https://backgroundagents.dev	2026-01-25T18:45:47Z	2026-08-19T18:26:52Z	False		
semanser/codel	Codel	https://github.com/semanser/codel	AGPL-3.0	semanser	User	✨ Fully autonomous AI Agent that can perform complicated tasks and projects using terminal, browser, and editor.	TypeScript	2474	https://discord.gg/uMaGSHNjzc	2024-03-18T17:21:32Z	2024-04-29T17:53:58Z	False	agent;ai;autonomous-agents;bot;devin;llama2;llms;ollama;openai	
Nano-Collective/nanocoder	Nanocoder	https://github.com/Nano-Collective/nanocoder	NOASSERTION	Nano-Collective	Organization	An open coding agent for your terminal, built by a community collective rather than a company. Bring your own model, keep your code on your machine, and owe nothing to anyone.	TypeScript	2370	https://docs.nanocollective.org/nanocoder	2025-07-30T12:54:15Z	2026-08-20T00:44:16Z	False	ai;ai-agents;ai-coding;coding-agents;llm;llm-inference;ollama;openai;openrouter	
ai-christianson/RA.Aid	RA.Aid	https://github.com/ai-christianson/RA.Aid	Apache-2.0	ai-christianson	User	Develop software autonomously.	Python	2221	https://ra-aid.ai/	2024-12-10T23:55:34Z	2026-01-30T16:24:40Z	False	agents;ai;software-engineering	
OpenAutoCoder/Agentless	Agentless	https://github.com/OpenAutoCoder/Agentless	MIT	OpenAutoCoder	Organization	Agentless🐱:  an agentless approach to automatically solve software development problems	Python	2097		2024-06-30T23:37:17Z	2024-12-22T19:29:31Z	False	agent;artificial-intelligence;llm;software-development	
aws/amazon-q-developer-cli	Amazon Q Developer CLI	https://github.com/aws/amazon-q-developer-cli	Apache-2.0	aws	Organization	✨ Agentic chat experience in your terminal. Build applications using natural language.	Rust	1984	https://docs.aws.amazon.com/amazonq/latest/qdeveloper-ug/command-line-installing.html	2024-09-23T18:41:22Z	2026-08-17T16:50:52Z	False	agent;ai;amazon-q;cli;linux;llm;macos;mcp;open-source;productivity;rust;shell;terminal;typescript	
neovateai/neovate-code	Neovate Code	https://github.com/neovateai/neovate-code	MIT	neovateai	Organization	Neovate Code is a code agent to enhance your development. You can use it to generate code, fix bugs, review code, add tests, and more. You can run it in interactive mode or headless mode.	TypeScript	1559	https://neovateai.dev/	2025-03-11T08:32:54Z	2026-03-24T06:27:53Z	False		
wrtnlabs/autobe	AutoBE	https://github.com/wrtnlabs/autobe	AGPL-3.0	wrtnlabs	Organization	AI Vibe Coding Agent of TS backend server, enhanced by compiler skills, generating 100% working code	TypeScript	1358	https://autobe.dev	2025-04-28T09:57:52Z	2026-06-24T12:29:04Z	False	ai-coding-agent;all-in-one;automation;backend;generated-api;llm;nestia;nestjs;no-coding;no-coding-app;no-coding-tools;prisma;server;vibe-coding	
MayDay-wpf/snow-cli	Snow CLI	https://github.com/MayDay-wpf/snow-cli	NOASSERTION	MayDay-wpf	User	Agentic coding in your terminal,Simultaneously compatible with OpenAI, Gemini, and Claude.运行在终端的 AI 编程智能体，同时兼容 Deepseek、OpenAI、Gemini和Claude。	TypeScript	1061		2025-08-16T15:22:06Z	2026-08-19T09:20:15Z	False	ai;ai-agents;ai-coding	
vinhnx/VTCode	VT Code	https://github.com/vinhnx/VTCode	Apache-2.0	vinhnx	User	VT Code is a Rust coding agent with LLM-native code understanding, OS-native sandboxing, and multi-provider support.	Rust	811	https://github.com/vinhnx/VTCode/wiki	2025-08-29T09:01:48Z	2026-08-19T15:33:27Z	False	agent;cargo;cli;codingagent;crossterm;ratatui;rust;terminal;tui	
build-with-groq/groq-code-cli	Groq Code CLI	https://github.com/build-with-groq/groq-code-cli	MIT	build-with-groq	Organization	A highly customizable, lightweight, and open-source coding CLI powered by Groq for instant iteration.	TypeScript	740		2025-07-30T00:07:27Z	2025-12-19T13:44:22Z	False	managed-by-terraform	
truffle-ai/dexto	Dexto	https://github.com/truffle-ai/dexto	NOASSERTION	truffle-ai	Organization	Agent harness and tookit for building AI agents and agentic applications. CLI and SDKs included	TypeScript	647	https://dexto.ai	2025-03-24T22:49:13Z	2026-08-18T10:15:27Z	False	ai;ai-agent;ai-agents;ai-tools;contributions-welcome;function-calling;llm;mcp;mcp-client;modelcontextprotocol;typescript	
dhanji/g3	g3	https://github.com/dhanji/g3	None	dhanji	User	experiments in goose	Rust	519		2025-09-14T23:04:26Z	2026-08-17T05:24:22Z	False		
AntonOsika/gpt-engineer	GPT-Engineer	https://github.com/AntonOsika/gpt-engineer	MIT	AntonOsika	User	CLI platform to experiment with codegen. Precursor to: https://lovable.dev	Python	55133		2023-04-29T12:52:15Z	2025-05-14T10:15:10Z	True	ai;autonomous-agent;code-generation;codebase-generation;codegen;coding-assistant;gpt-4;gpt-engineer;openai;python	
opencode-ai/opencode	OpenCode	https://github.com/opencode-ai/opencode	MIT	opencode-ai	Organization	A powerful AI coding agent. Built for the terminal.	Go	13677		2025-03-16T23:38:55Z	2025-09-18T02:54:28Z	True	ai;claude;code;llm;openai	
AI-App/OpenDevin.OpenDevin	OpenDevin	https://github.com/AI-App/OpenDevin.OpenDevin	MIT	AI-App	Organization	🐚 OpenDevin: Code Less, Make More	None	1366		2024-04-18T04:57:22Z	2024-04-18T04:20:26Z	False		
smol-ai/developer	Smol Developer	https://github.com/smol-ai/developer	MIT	smol-ai	Organization	the first library to let you embed a developer agent in your own app!	Python	12186	https://twitter.com/SmolModels	2023-05-13T07:19:57Z	2024-04-07T07:11:03Z	False		
DataBassGit/AgentForge	AgentForge	https://github.com/DataBassGit/AgentForge	GPL-3.0	DataBassGit	User	Extensible AGI Framework	Python	842		2023-04-08T17:16:39Z	2026-08-10T20:45:31Z	False	agent-based;agi;ai;artificial-intelligence;python	
jbexta/AgentPilot	AgentPilot	https://github.com/jbexta/AgentPilot	AGPL-3.0	jbexta	User	A versatile workflow automation platform to create, organize, and execute AI workflows, from a single LLM to complex AI-driven workflows.	Python	564	https://agentpilot.ai	2023-09-11T10:57:48Z	2026-04-14T04:11:29Z	False	agent;agi;ai;artificial-intelligence;claude;copilot;copilot-chat;desktop-assistant;gemini;gui;openai;python;realtime-api;structured-output;tool-calling;windows-copilot;workflow-automation;workflow-engine	
aiwaves-cn/agents	Agents	https://github.com/aiwaves-cn/agents	Apache-2.0	aiwaves-cn	Organization	An Open-source Framework for Data-centric, Self-evolving Autonomous Language Agents	Python	5954		2023-07-18T02:01:03Z	2024-09-26T03:12:53Z	False	autonomous-agents;language-model;llm	
paul-gauthier/aider	Aider	https://github.com/paul-gauthier/aider	Apache-2.0	Aider-AI	Organization	aider is AI pair programming in your terminal	Python	48333	https://aider.chat/	2023-05-09T18:57:49Z	2026-05-22T14:02:20Z	False	anthropic;chatgpt;claude-3;cli;command-line;gemini;gpt-3;gpt-35-turbo;gpt-4;gpt-4o;llama;openai;sonnet	
microsoft/autogen	AutoGen	https://github.com/microsoft/autogen	CC-BY-4.0	microsoft	Organization	A programming framework for agentic AI	Python	60525	https://microsoft.github.io/autogen/	2023-08-18T11:43:45Z	2026-04-15T11:59:09Z	False	agentic;agentic-agi;agents;ai;autogen;autogen-ecosystem;chatgpt;framework;llm-agent;llm-framework	
emrgnt-cmplxty/automata	Automata	https://github.com/emrgnt-cmplxty/automata	Apache-2.0	emrgnt-cmplxty	User	Automata: A self-coding agent	Python	681		2023-06-20T16:05:36Z	2023-09-05T21:24:32Z	True	agi;ai;autonomous-agents;autonomous-systems;gpt;gpt-4;llm;openai	
irgolic/AutoPR	AutoPR	https://github.com/irgolic/AutoPR	MIT	irgolic	User	AutoPR autonomously wrote pull requests in response to issues	Python	1371	https://autopr.com	2023-03-18T12:02:33Z	2026-03-05T23:34:26Z	True	action;actions;ai;chatgpt;github-action;github-actions;gpt;gpt-3;gpt-4;llm;openai	
stepanogil/autonomous-hr-chatbot	Autonomous HR Chatbot	https://github.com/stepanogil/autonomous-hr-chatbot	MIT	stepanogil	User	An autonomous HR agent that can answer user queries using tools	Python	460	https://autonomous-hr-chatbot.vercel.app	2023-06-15T09:00:28Z	2026-04-29T06:34:58Z	False	agent;ai;autonomous-agents;langchain;openai;python	
saten-private/BabyCommandAGI	BabyCommandAGI	https://github.com/saten-private/BabyCommandAGI	MIT	saten-private	User	BabyCommandAGI is designed to test what happens when you combine CLI and LLM, which are older computer interfaces than GUI. Based on BabyAGI, and using Latest LLM API. Imagine LLM and CLI having a conversation. It's exciting to think about what could happen. I hope you will all try it out.	Python	61	https://x.com/saten_work/status/1791550524988490053	2023-05-16T20:15:32Z	2025-06-11T15:37:12Z	False	ai;anthropic;anthropic-api;artificial-intelligence;autonomous-agents;claude-3-5;gpt-4o;openai;openai-api;python	
pgalko/BambooAI	BambooAI	https://github.com/pgalko/BambooAI	MIT	pgalko	User	A Python library powered by Language Models (LLMs) for conversational data discovery and analysis.	Python	785		2023-05-07T01:25:51Z	2026-06-03T04:53:42Z	False	ai;ai-agents;anthropic;data-analysis;data-science;docker;gemini;groq;llm;mistral;ollama;openai-api;pandas;pinecone;python;vector-database;vllm	
seahyinghang8/blinky	Blinky	https://github.com/seahyinghang8/blinky	MIT	seahyinghang8	User	An open-source debugging agent in VSCode	TypeScript	90		2024-05-22T17:10:54Z	2024-06-03T01:34:13Z	False		
xeol-io/bumpgen	bumpgen	https://github.com/xeol-io/bumpgen	MIT	xeol-io	Organization	bumpgen is an AI agent that upgrades npm packages 	TypeScript	146	https://www.xeol.io/beta	2024-04-09T22:33:54Z	2024-08-05T00:43:06Z	False	ai;ai-agent;appsec;bump-version;react;tsx;typescript	
OpenBMB/ChatDev	ChatDev	https://github.com/OpenBMB/ChatDev	Apache-2.0	OpenBMB	Organization	ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration	Python	34058	https://arxiv.org/abs/2307.07924	2023-08-28T02:18:13Z	2026-07-24T08:01:27Z	False		
ur-whitelab/chemcrow-public	ChemCrow	https://github.com/ur-whitelab/chemcrow-public	MIT	ur-whitelab	Organization	Chemcrow	Python	946		2023-06-04T15:59:05Z	2024-12-19T17:47:04Z	False		
ennucore/clippy	Clippy	https://github.com/ennucore/clippy/	None	ennucore	User	AI programming assistant	Python	411		2023-04-17T10:25:15Z	2024-05-05T12:31:29Z	False		
codefuse-ai/codefuse-chatbot	CodeFuse-ChatBot	https://github.com/codefuse-ai/codefuse-chatbot	NOASSERTION	codefuse-ai	Organization	An intelligent assistant serving the entire software development lifecycle, powered by a Multi-Agent Framework, working with DevOps Toolkits, Code&Doc Repo RAG,  etc.	Python	1291		2023-09-28T01:06:40Z	2024-07-01T09:16:47Z	False	aiops;chatbot;code-repo-analysis;code-repo-generation;devops;gpt;knowledge-graph;langchain;multi-agent;rag;tool-learning	
ajhous44/cody	Cody by ajhous44	https://github.com/ajhous44/cody	MIT	ajhous44	User	Cody the coding ai assistant	Python	66		2023-07-22T16:38:48Z	2025-03-11T22:24:29Z	False		
joaomdmoura/crewai	CrewAI	https://github.com/joaomdmoura/crewai	MIT	crewAIInc	Organization	Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.	Python	57338	https://crewai.com	2023-10-27T03:26:59Z	2026-08-20T00:56:10Z	False	agents;ai;ai-agents;aiagentframework;llms	
Technion-Kishony-lab/data-to-paper	data-to-paper	https://github.com/Technion-Kishony-lab/data-to-paper	MIT	Technion-Kishony-lab	Organization	data-to-paper: Backward-traceable AI-driven scientific research	Python	813		2023-06-17T09:31:27Z	2025-07-19T15:01:19Z	False	agents;ai;autonomous-agents;interactive-machine-learning;llm;scientific-research	
melih-unsal/DemoGPT	DemoGPT	https://github.com/melih-unsal/DemoGPT	MIT	melih-unsal	User	🤖 Create LLM agents in a second with your prompts. Everything you need to create an LLM Agent - tools, prompts, frameworks, and models - all in one place.	Python	1905		2023-06-07T09:56:20Z	2026-04-01T12:30:12Z	False	agent;agents;ai;artificial-intelligence;autogpt;autonomous-agents;chatgpt;chatgpt-api;deepseek;demo;gpt-4;langchain;langchain-app;langchain-python;llms;o1;openai;python;streamlit;streamlit-application	
