name	url	description
CodingFleet	https://codingfleet.com	AI coding tool and blog; Copilot alternative comparison
AIComparison	https://aicomparison.ai	AI tool comparison site for copilot alternatives and coding assistants
AtlasWorkspace	https://atlasworkspace.ai	AI workspace with Copilot alternatives comparison blog
LLMConfigurator	https://llmconfigurator.com	Guides on local LLM coding agent setups and offline copilot alternatives
OpenHands	https://openhands.dev	Open-source platform for building and running AI coding agents; MIT licensed; Agent Canvas; 80K+ GitHub stars
Goose	https://github.com/block/goose	Open-source AI agent from Block (Square); for coding and tool workflows; MCP support; desktop/CLI/API
Kilo Code	https://kilocode.ai	MIT-licensed open-source agentic coding platform; VS Code, JetBrains, CLI; BYOK 30+ providers; mode-based control
SWE-agent	https://github.com/SWE-agent/SWE-agent	MIT-licensed open-source agent for research and solving software engineering issues; SWE-bench; LiteLLM routing
Devika AI	https://github.com/stitionai/devika	Open-source AI software engineer by Stition AI; alternative to Devin; understands natural language instructions
Taskade	https://taskade.com	AI-powered productivity and task automation platform; Devin alternative comparison blog
Crevio	https://crevio.co	AI tool comparison blog with Devin alternatives by use case
UseCarly	https://usecarly.com	AI tool comparison blog for Cursor and Devin alternatives
BuildBetter	https://buildbetter.ai	AI engineering tools comparison platform; cross-agent context layer
Kiro	https://kiro.dev	Amazon's AI IDE built on VS Code; spec-driven development with requirements, design, and task list; AWS native
Roo Code	https://github.com/RooCodeInc/Roo-Code	Open-source VS Code extension forked from Cline; custom agent modes; Boomerang Tasks for recursive sub-task orchestration
Blink	https://blink.new	Browser-based AI code editor and app builder; Windsurf alternative comparison blog
Emergent.sh	https://emergent.sh	Full-stack AI development platform; Windsurf alternatives comparison
BlackBox AI	https://www.blackbox.ai	AI code search and snippet discovery tool; fast code generation
Verdent.ai	https://verdent.ai	AI tool comparison guides for Windsurf alternatives
NoCode MBA	https://nocode.mba	No-code and AI tool comparison articles
Pi	https://pi.dev	Minimalist coding agent harness with primitives-first design; BYOM; 15+ LLM providers; RPC mode for embedding in systems; MIT license
T3 Code	https://github.com/pingdotgg/t3code	UI wrapper on top of Claude Code and Codex CLI; by Theo (pingdotgg); not a harness itself
Antigravity	https://antigravity.google	Google's natural language to full-stack app builder; agentic end-to-end app generation; frontend, backend, database from a single prompt
Lovable	https://lovable.dev	AI-powered app builder (formerly GPT Engineer); React/Next.js with Supabase backend; chat-to-app; visual editing; GitHub sync
Replit Agent	https://replit.com/ai	Autonomous AI agent in Replit cloud IDE; plans, codes, tests, debugs, and deploys from natural language; any language
v0	https://v0.dev	Vercel's AI UI component builder; generates React/Tailwind/shadcn UI from prompts or screenshots; full page generation
GPT Engineer	https://github.com/AntonOsika/gpt-engineer	Open-source codebase CLI tool; generates entire codebases from prompts; rebranded to Lovable
Magic Patterns	https://magicpatterns.com	AI UI generator for React components and full pages; v0 alternative
Flowstep	https://flowstep.ai	AI tool for UI design and frontend development; v0 alternative comparison
Base44	https://base44.com	AI app builder; Bolt.new alternative comparison
OnSpace	https://onspace.ai	AI app builder for mobile and web; Bolt.new and Lovable comparison
AIDesigner	https://aidesigner.ai	AI UI generator and full-stack app builder; v0 alternative comparison
Seeles	https://seeles.ai	AI web development platform for building web apps; v0 alternative comparison
Superset	https://superset.sh	Agent-agnostic workspace for running coding agents in parallel; worktree-per-task isolation; runs Claude Code, Codex, OpenCode, Cursor, Gemini; 13K+ GitHub stars
Conductor	https://conductor.build	Native macOS app for running Claude Code, Codex, Cursor agents in parallel; isolated workspace with Git worktree; review-and-merge flow
Orca	https://github.com/orca-app/orca	Free open-source desktop agent development environment; runs 25+ agents in parallel; Git worktree per agent; macOS, Windows, Linux
Parallel Code	https://parallelcode.com	Agent workspace for parallel coding agents; worktree isolation per task; Superset alternative
Augment Intent	https://www.augmentcode.com/intent	Augment Code's spec-driven agent workspace; coordinator agent drafts spec, runs implementor agents in parallel waves; isolated worktrees
Crystal (Nimbalyst)	https://nimbalyst.com	Agent workspace for parallel coding (rebranded from Crystal); worktree-based isolation
Mistral Vibe	https://mistral.ai	Vibe coding agent by Mistral AI; supported as external agent in Superset
Devin Desktop	https://devin.ai	Product formerly known as Windsurf; now Cognition's Devin Desktop with Agent Command Center; local and cloud agents
FutureProofing	https://futureproofing.dev	AI-native team resource site with agentic IDE comparisons
Superset.sh	https://superset.sh	Agent-agnostic workspace for running coding agents in parallel; Git worktree isolation per task
StackSpend	https://stackspend.app	AI tool comparison blog with agentic IDE and coding agent comparisons
Firebase Studio	https://firebase.studio	Google's free cloud-based AI IDE built on Project IDX; browser-based with Gemini; full Linux VMs; mobile and web dev
Google Jules	https://jules.google.com	Proactive AI coding agent by Google; lives inside GitHub; autonomously resolves issues and creates PRs; free 15 tasks/day
Trae	https://www.trae.ai	ByteDance's free AI IDE (VS Code fork); Builder Mode for agentic editing; powered by Claude and GPT; no usage limits
Tabby	https://tabbyml.com	Open-source self-hosted AI coding assistant; runs on own hardware; 10+ IDEs; Pochi agent for multi-step tasks (same as TabbyML)
Polyfactor	https://polyfactor.io	AI code editor comparison site with 29+ tools compared on pricing, features, and GDPR compliance
Grok Build	https://x.ai/api	Grok Build 0.1 by xAI; coding agent API at $1/$2 per million tokens; 1M context window; live X data access; 100+ tok/s
Muse Code	https://codersera.com/blog/muse-code-complete-guide-2026/	Meta's first coding agent (August 2026); Muse Spark 1.2 model; terminal-based; contributor tier at $0.10/$0.20 per million tokens
Amp	https://ampcode.com	AI coding agent; autonomous agent alternative to Devin and Jules; mentioned in coding agent rankings
Agentic.ai	https://agentic.ai	AI tool comparison platform with 20 best coding agents ranking
AIToolsRecap	https://aitoolsrecap.com	AI tools review and ranking site for coding agents
Codersera	https://codersera.com	AI coding agents guide and comparison blog; Muse Code and Claude Code coverage
CodeLucky	https://codelucky.com	Autonomous coding agents comparison blog
AIEngineerInsights	https://aiengineerinsights.com	AI coding agents ranked blog; includes Amp, Jules comparisons
Presenc	https://presenc.ai	Coding agent benchmarks research site; SWE-Bench, TerminalBench comparisons
NeuralCoreTech	https://neuralcoretech.com	AI coding agents comparison blog with benchmarks
OpenAgents	https://openagents.org	AI coding agents comparison blog; 10 best tools ranked
looperators	https://looperators.com	Multi-agent review loop coding tool; best for orchestrating multiple agents that review and debate in a loop
RunCell	https://docs.kanaries.net/articles/jupyter-ai-runcell	Notebook agent built for data science; works inside JupyterLab with cells, variables, outputs, and charts
OpenClaw	https://github.com/openclaw/openclaw	Open-source coding agent; OpenHands vs OpenClaw vs Aider comparison mentioned
Mini-SWE-Agent	https://github.com/SWE-agent/mini-swe-agent	Minimal SWE-agent implementation in ~100 lines; 74% on SWE-bench; research-oriented
Hermes Agent	https://github.com/hermes-agent	AI coding agent; mentioned in harness comparison articles
Codegen	https://codegen.com	Agent orchestration infrastructure and coding agent; AI Dev Tool Power Rankings
VibeCompare	https://vibecompare.dev	AI tool comparison site with side-by-side comparisons of coding agents
AgentMarketCap	https://agentmarketcap.ai	AI agent market cap and comparison blog; coding agent showdowns
AImadeTools	https://aimadetools.com	AI tools ranking blog; best AI coding tools 2026
DevToolsReview	https://devtoolsreview.com	Developer tools review site; best AI coding tools 2026
AIToolRanked	https://aitoolranked.com	AI tool ranking site; 15 ranked AI coding tools 2026
Atoms	https://atoms.app	Coordinated team of AI agents covering full product lifecycle; product management, architecture, engineering, SEO, data; Race Mode across multiple models
Warp	https://www.warp.dev	Terminal-native AI development environment (ADE); command-line workflows with AI; agentic terminal
Uizard AI	https://uizard.io	AI prototyping tool for design ideation and user testing; UI mockup generation
Galileo AI	https://www.galileo.ai/agentic-evaluations	AI evaluation and observability platform; guardrails for agents in production
ChatDev	https://chatdev.ai	Open-source multi-agent framework; virtual software company with CEO, CTO, programmer, tester, designer roles; 27K+ GitHub stars
Postman AI Agent Builder	https://www.postman.com	API testing platform with AI Agent Builder and Postbot; visual canvas for wiring up AI agents with LLM tools and guardrails
AutoGen	https://github.com/microsoft/autogen	Microsoft's open-source multi-agent framework; version 0.5; for serious multi-agent coding work
CrewAI	https://crewai.com	Multi-agent AI framework; version 1.0; for orchestrating AI agents in software development workflows
Thesys	https://thesys.dev	AI agent builder platform; visual canvas for AI agent creation
TheCodeBeast	https://thecodebeast.com	AI coding agents blog covering autonomous AI in software development
Index.dev	https://index.dev	Developer blog with AI agents for software development rankings
Antigravity CLI	https://terminaltrove.com/compare/ai-coding-agents/antigravity-cli/	Google Antigravity's CLI coding agent; terminal-based version of Antigravity app builder
Auggie CLI	https://terminaltrove.com/compare/ai-coding-agents/auggie-cli/	Augment Code's CLI coding agent; terminal-based version of Augment Code assistant
AutoHand	https://terminaltrove.com/compare/ai-coding-agents/autohand/	AI coding agent; terminal-based agent listed in terminaltrove comparison
Charm Crush	https://terminaltrove.com/compare/ai-coding-agents/charm-cli/	Charm's Crush CLI coding agent; terminal-based AI coding tool
Codebuff	https://codebuff.com	AI coding agent CLI; multi-agent coding tool; terminal-based
CommandCode	https://terminaltrove.com/compare/ai-coding-agents/commandcode/	AI coding agent CLI; terminal-based coding tool listed in terminaltrove
Cursor CLI	https://terminaltrove.com/compare/ai-coding-agents/cursor-cli/	Cursor's CLI coding agent; terminal-based version of Cursor IDE agent
Deep Agents Code	https://terminaltrove.com/compare/ai-coding-agents/deep-agents-code/	Deep Agents coding tool; terminal-based AI coding agent
Droid CLI	https://terminaltrove.com/compare/ai-coding-agents/droid/	Droid CLI coding agent; terminal-based AI coding tool
ForgeCode	https://terminaltrove.com/compare/ai-coding-agents/forgecode/	ForgeCode AI coding agent; terminal-based coding tool
Groq Code CLI	https://terminaltrove.com/compare/ai-coding-agents/groq-code-cli/	Groq-based CLI coding agent; uses Groq's fast inference for coding
IBM Bob	https://terminaltrove.com/compare/ai-coding-agents/ibm-bob/	IBM's Bob CLI coding agent; terminal-based AI coding tool
Kimi Code CLI	https://terminaltrove.com/compare/ai-coding-agents/kimi-cli/	Moonshot's Kimi Code CLI; terminal-based coding agent using Kimi models
Letta Code	https://terminaltrove.com/compare/ai-coding-agents/letta-code/	Letta Code CLI coding agent; terminal-based AI coding tool
Nanocode	https://terminaltrove.com/compare/ai-coding-agents/nanocode/	Nanocode AI coding agent; terminal-based coding tool
Nanocoder	https://terminaltrove.com/compare/ai-coding-agents/nanocoder/	Nanocoder AI coding agent; terminal-based coding tool
Neovate Code	https://terminaltrove.com/compare/ai-coding-agents/neovate-code/	Neovate Code AI coding agent; terminal-based coding tool
OpenBlock	https://terminaltrove.com/compare/ai-coding-agents/openblock/	OpenBlock AI coding agent; terminal-based coding tool
Plandex	https://terminaltrove.com/compare/ai-coding-agents/plandex/	Plandex AI coding agent; terminal-based coding tool with plan-based execution
Poolside Agent CLI	https://terminaltrove.com/compare/ai-coding-agents/poolside-agent-cli/	Poolside AI's CLI coding agent; terminal-based coding tool
Qoder CLI	https://terminaltrove.com/compare/ai-coding-agents/qoder-cli/	Qoder CLI coding agent; terminal-based version of Qoder platform
Qwen Code	https://terminaltrove.com/compare/ai-coding-agents/qwen-code/	Alibaba's Qwen Code CLI; terminal-based coding agent using Qwen models
Ralph TUI	https://terminaltrove.com/compare/ai-coding-agents/ralph-tui/	Ralph TUI AI coding agent; terminal-based coding tool with TUI interface
Rovo Dev CLI	https://terminaltrove.com/compare/ai-coding-agents/rovodev/	Atlassian's Rovo Dev CLI; terminal-based coding agent
Snowflake Cortex CLI	https://terminaltrove.com/compare/ai-coding-agents/snowflake-cortex-cli/	Snowflake Cortex CLI coding agent; terminal-based coding tool
Toad	https://terminaltrove.com/compare/ai-coding-agents/toad/	Toad AI coding agent; terminal-based coding tool
VT Code	https://terminaltrove.com/compare/ai-coding-agents/vt-code/	VT Code AI coding agent; terminal-based coding tool
Vix	https://terminaltrove.com/compare/ai-coding-agents/vix-agent/	Vix AI coding agent; terminal-based coding tool
fx (by Vercel)	https://terminaltrove.com/compare/ai-coding-agents/fx-coding-agent/	Vercel's fx CLI coding agent; terminal-based coding tool
Tonkotsu	https://verdent.ai/guides/ai-coding-tools-comparison-2026	AI coding agent mentioned in coding tools comparison; autonomous agent
TerminalTrove	https://terminaltrove.com	Comparison site for 40+ terminal AI coding agents with side-by-side features and benchmarks
