channel,name,maker,url,description
Commercial / closed-source,Doubao MarsCode,ByteDance,https://www.marscode.com,"ByteDance cloud IDE/AI assistant, folded into the Trae brand"
Commercial / closed-source,Driver AI,Driver,https://www.driver.ai,Explains massive legacy/embedded codebases for modernization; $50M+ raised
Commercial / closed-source,DryRun Security,DryRun,https://www.dryrun.security,AI-native contextual security code review
Commercial / closed-source,Early,Early (startearly.ai),https://www.startearly.ai,AI agent generating verified unit tests (Israel)
Commercial / closed-source,Entelligence,Entelligence AI,https://www.entelligence.ai,AI engineering intelligence + PR review
Commercial / closed-source,Famous,Famous.ai,https://famous.ai,Prompt-to-app vibe coding platform
Commercial / closed-source,Firebender,Firebender (YC W24),https://firebender.com,Coding agent for Android Studio with emulator and LSP access
Commercial / closed-source,Framer AI,Framer,https://www.framer.com,AI site generation (Wireframer/Workshop) inside Framer
Commercial / closed-source,Fume,Fume (YC),https://fume.app,AI software engineer that fixes bugs from Sentry/Slack
Commercial / closed-source,Functionize,Functionize,https://www.functionize.com,Agentic cloud test automation
Commercial / closed-source,Gibson AI,GibsonAI,https://gibsonai.com,Text-to-database design/migration agent
Commercial / closed-source,Gitar,Gitar,https://gitar.co,"Code-change automation agents for migrations, cleanup, and PRs"
Commercial / closed-source,Glide AI,Glide,https://www.glideapps.com,AI-generated business apps from prompts/data
Commercial / closed-source,Google AI Studio Build,Google,https://aistudio.google.com,"Full-stack vibe coding with Antigravity agent + built-in Firebase (AI Studio 2.0, 2026)"
Commercial / closed-source,Google Opal,Google,https://opal.withgoogle.com,No-code mini-app builder that chains prompts into shareable AI apps
Commercial / closed-source,Greplica,Greplica,https://www.producthunt.com/products/greplica,Self-updating codebase wiki/shared memory for coding agents (OSS core + managed)
Commercial / closed-source,Hostinger Horizons,Hostinger,https://www.hostinger.com/horizons,Hosted no-code AI web app builder
Commercial / closed-source,iFlow CLI,Alibaba (Xinliu),https://platform.iflow.cn,Free Chinese terminal coding agent
Commercial / closed-source,incident.io AI SRE,incident.io,https://incident.io,Autonomous incident investigation agent (UK)
Commercial / closed-source,Instance,Instance,https://apps.apple.com/app/id6744366024,iOS vibe-coding app for building mobile apps without code
Commercial / closed-source,Jazzberry,Jazzberry (YC X25),https://jazzberry.ai,AI agent that finds bugs in pull requests
Commercial / closed-source,KaneAI,LambdaTest,https://www.lambdatest.com/kane-ai,GenAI native test agent on LambdaTest cloud
Commercial / closed-source,Keploy,Keploy,https://keploy.io,Open-source-core API/unit test generation platform (India)
Commercial / closed-source,Kodus,Kodus,https://kodus.io,Open-source-core AI code review agent (Brazil)
Commercial / closed-source,Kombai,Kombai,https://kombai.com,Frontend-specialized coding agent for complex UI codebases
Commercial / closed-source,Komment,Komment,https://komment.ai,Pipeline-driven codebase documentation generation
Commercial / closed-source,Korbit,Korbit AI,https://www.korbit.ai,AI mentor/code review for PRs
Commercial / closed-source,Kubiya,Kubiya,https://www.kubiya.ai,Agentic DevOps automation (Israel)
Commercial / closed-source,Latta,Latta AI,https://latta.ai,AI bug-fixing agent from runtime error snapshots (Czechia)
Commercial / closed-source,LinearB AI,LinearB,https://linearb.io,gitStream + AI code review inside eng-ops platform
Commercial / closed-source,Lingo.dev,Lingo.dev (ex Replexica),https://lingo.dev,AI localization engineer that ships translated code (YC)
Commercial / closed-source,Locofy,Locofy,https://www.locofy.ai,Design-to-code with AI (LocoAI/Lightning)
Commercial / closed-source,mabl,mabl,https://www.mabl.com,AI-native test automation with agentic workflows
Commercial / closed-source,Macroscope,Macroscope,https://macroscope.com,AI that summarizes and reviews code changes
Commercial / closed-source,Mechanical Orchard,Mechanical Orchard,https://www.mechanical-orchard.com,AI-driven mainframe rewrite platform (Imogen); Gartner Cool Vendor
Commercial / closed-source,Meticulous,Meticulous,https://www.meticulous.ai,Auto-generated visual/E2E tests from recorded user sessions
Commercial / closed-source,MiniMax Agent,MiniMax,https://agent.minimax.io,Agent that builds and deploys full-stack web apps from prompts
Commercial / closed-source,Mintlify,Mintlify,https://mintlify.com,AI-native docs platform with autonomous writing agent
Commercial / closed-source,Mobb,Mobb,https://mobb.ai,Auto-fixes SAST findings across scanners (Israel)
Commercial / closed-source,ModelCode,ModelCode AI,https://www.modelcode.ai,AI legacy code modernization at scale
Commercial / closed-source,Moderne,Moderne,https://www.moderne.io,Mass-scale automated refactoring (OpenRewrite core) + Moddy agent
Commercial / closed-source,Momentic,Momentic,https://momentic.ai,"AI E2E testing platform; $18.7M raised, customers Notion/Retool"
Commercial / closed-source,mrge,mrge (YC X25),https://www.mrge.io,AI-native code review workspace
Commercial / closed-source,Murmell,Murmell,https://murmell.com,Shared cloud canvas where teams and multiple coding agents work one repo together
Commercial / closed-source,Netlify AI,Netlify,https://www.netlify.com,"Agent-native platform (""Agent Runners"") to build/deploy web apps from prompts"
Commercial / closed-source,Nia,Nia (YC),https://www.trynia.ai,Codebase+docs context API feeding coding agents
Commercial / closed-source,Niteshift,Niteshift,https://niteshift.dev,"Model-agnostic full-stack cloud for coding agents; $7M Greylock seed (2026, ex-Datadog)"
Commercial / closed-source,Nullify,Nullify,https://www.nullify.ai,AI AppSec engineer for finding/fixing vulns
Commercial / closed-source,Numbers Station,Numbers Station,https://numbersstation.ai,AI agents for enterprise data stack automation
Commercial / closed-source,Omnara,Omnara (YC S25),https://omnara.com,Mobile/web command center to launch and steer coding agents from anywhere
Commercial / closed-source,Ona,Ona (formerly Gitpod),https://ona.com,Gitpod rebranded 2025 into parallel cloud software engineering agents
Commercial / closed-source,Operative,Operative (YC),https://www.ycombinator.com/companies/operative,Browser agents that test what coding agents build
Commercial / closed-source,Optibot,Optimal AI,https://getoptimal.ai,AI code review agent for engineering teams
Commercial / closed-source,Oracle Code Assist,Oracle,https://www.oracle.com/application-development/code-assist/,Java/SQL-optimized enterprise coding assistant
Commercial / closed-source,Panto AI,Panto,https://www.pantoai.com,AI code review with business context
Commercial / closed-source,Parity,Parity (YC),https://www.ycombinator.com/companies/parity,AI SRE that investigates alerts before you open your laptop
Commercial / closed-source,Pixee,Pixee,https://www.pixee.ai,Automated code-hardening/remediation agent (pixeebot)
Commercial / closed-source,PlayerZero,PlayerZero,https://www.playerzero.ai,AI that connects product defects to code changes and fixes
Commercial / closed-source,Polymet,Polymet,https://polymet.ai,AI product designer producing design + code
Commercial / closed-source,Propolis,Propolis (YC X25),https://www.ycombinator.com/companies/propolis,Swarms of browser agents that autonomously QA web apps
Commercial / closed-source,Pulumi Neo,Pulumi,https://www.pulumi.com,AI agent that writes/updates infrastructure-as-code
Commercial / closed-source,Pythagora,Pythagora,https://www.pythagora.ai,All-in-one AI dev platform (GPT Pilot core) from prompt to deployed app
Commercial / closed-source,QA Wolf,QA Wolf,https://www.qawolf.com,AI + human-backed 80% automated E2E coverage service
Commercial / closed-source,Qualiti,Qualiti,https://www.qualiti.ai,AI-driven automated QA service
Commercial / closed-source,Quash,Quash,https://quashbugs.com,AI QA for mobile apps (India)
Commercial / closed-source,Raccoon Code,SenseTime,https://raccoon.sensetime.com,SenseTime's code assistant (代码小浣熊)
Commercial / closed-source,Ranger,Ranger,https://www.ranger.net,"AI QA agents with human review (""cyborg"" QA)"
Commercial / closed-source,Recurse ML,Recurse ML,https://recurse.ml,ML-driven bug detection on diffs
Commercial / closed-source,Refact.ai,Refact,https://refact.ai,Open-source-core agentic assistant with enterprise self-hosting
Commercial / closed-source,Reflection AI,Reflection,https://reflection.ai,Asimov code-research agent; raised $2B (2025)
Commercial / closed-source,Resolve.ai,Resolve AI,https://resolve.ai,AI production engineer for incident RCA and remediation
Commercial / closed-source,Retool AI,Retool,https://retool.com,AI app generation and agents for internal tools
Commercial / closed-source,Rovo Dev,Atlassian,https://www.atlassian.com/software/rovo-dev,Atlassian coding agent (CLI + Jira/Bitbucket integration) built on Teamwork Graph
Commercial / closed-source,RunLLM,RunLLM,https://www.runllm.com,AI support engineer that debugs product issues from logs/code
Commercial / closed-source,Same,Same (YC),https://same.new,Agent that clones and rebuilds websites from a URL/prompt
Commercial / closed-source,SAP Joule for Developers,SAP,https://www.sap.com/products/artificial-intelligence/ai-assistant.html,Joule developer agents for ABAP/SAP Build Code
Commercial / closed-source,Seek AI,Seek,https://www.seek.ai,Natural-language-to-SQL enterprise data agent
Commercial / closed-source,Sentry Seer,Sentry,https://sentry.io,AI debugging agent: RCA from telemetry + fix PRs + PR review
Commercial / closed-source,Shiplight,Shiplight AI,https://www.shiplight.ai,Agentic QA platform
Commercial / closed-source,Solver,Laredo Labs,https://solverai.com,Repo-native autonomous software engineering platform
Commercial / closed-source,Spur,Spur (YC S24),https://www.ycombinator.com/companies/spur,AI QA engineer that tests web apps from plain-English flows
Commercial / closed-source,Stably,Stably AI,https://www.stably.ai,AI-powered E2E test automation
Commercial / closed-source,Stakpak,Stakpak,https://stakpak.dev,AI DevOps agent for infrastructure code
Commercial / closed-source,Subframe,Subframe,https://www.subframe.com,AI UI editor generating production React
Commercial / closed-source,Swimm,Swimm,https://swimm.io,Code-coupled docs + legacy/mainframe code understanding (Israel)
Commercial / closed-source,Symflower,Symflower,https://symflower.com,Static-analysis-driven unit test generation for Java/Go (Austria)
Commercial / closed-source,Tembo,Tembo,https://www.tembo.io,Production-error-to-PR autonomous dev agent (pivoted from Postgres)
Commercial / closed-source,Tessl,Tessl,https://tessl.io,Spec-driven AI-native development framework/registry; $125M raised (UK)
Commercial / closed-source,Testim,Tricentis,https://www.testim.io,AI-stabilized UI test automation; acquired by Tricentis
Commercial / closed-source,testRigor,testRigor,https://testrigor.com,Plain-English AI test automation
Commercial / closed-source,TestSprite,TestSprite,https://www.testsprite.com,Autonomous testing agent for AI-generated code
Commercial / closed-source,TextQL,TextQL,https://textql.com,AI analyst (Ana) generating SQL/python over enterprise data
Commercial / closed-source,Theneo,Theneo (YC),https://www.theneo.io,AI-generated Stripe-quality API docs
Commercial / closed-source,Townie,Val Town,https://www.val.town,AI assistant that writes and deploys server vals/apps
Commercial / closed-source,Traversal,Traversal,https://traversal.com,AI SRE for root-cause analysis in complex systems
Commercial / closed-source,Trickle,Trickle,https://www.trickle.so,AI website/app builder with agent workflow
Commercial / closed-source,Uizard,Miro,https://uizard.io,AI UI design/prototype generator; acquired by Miro 2024
Commercial / closed-source,Unblocked,Unblocked,https://getunblocked.com,AI answers about your codebase from code+Slack+Jira context
Commercial / closed-source,UX Pilot,UX Pilot,https://uxpilot.ai,AI UI design generation with code export
Commercial / closed-source,Webflow AI Assistant,Webflow,https://webflow.com,AI page/component generation in Webflow
Commercial / closed-source,Websim,Websim,https://websim.com,Imaginary-web app generator turned consumer vibe-coding site
Commercial / closed-source,Wispbit,Wispbit (YC),https://wispbit.com,Codebase-standards enforcement for AI-generated code
Commercial / closed-source,XBOW,XBOW,https://xbow.com,Autonomous pentesting agent that writes/executes exploits
Commercial / closed-source,Xcode Coding Intelligence,Apple,https://developer.apple.com/xcode/,Xcode 26 built-in coding agent with ChatGPT/Claude backends and Swift Assist
Commercial / closed-source,Youware,Youware,https://www.youware.com,Vibe-coding web app/site builder from Chinese team
Commercial / closed-source,ZeroPath,ZeroPath,https://zeropath.com,AI-native scanning + verified security patches; RSAC 2026 Innovation Sandbox
VS Code / Open VSX,A11yResolver,A11ySolutions,https://open-vsx.org/extension/A11ySolutions/a11y-resolver-vscode-chat,AI-powered accessibility fixing agent
VS Code / Open VSX,Abacus AI Agent,abacusai,https://open-vsx.org/extension/abacusai/abacusai-agent,AI-powered coding assistant/agent for VS Code
VS Code / Open VSX,ABAP remote filesystem,Marcello Urbani,https://marketplace.visualstudio.com/items?itemName=murbani.vscode-abap-remote-fs,VS Code-based agentic AI platform for SAP ABAP development
VS Code / Open VSX,ACP Client,Jun Han,https://marketplace.visualstudio.com/items?itemName=formulahendry.acp-client,"Agent Client Protocol client connecting Copilot, Claude Code, Gemini CLI, Qwen Code, Codex CLI, OpenCode"
VS Code / Open VSX,Agentforce Vibes,Salesforce,https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-einstein-gpt,Generative AI development for the Salesforce Platform
VS Code / Open VSX,Agentforce Vibes 2.0,salesforce,https://open-vsx.org/extension/salesforce/salesforcedx-agentforce-vibes-2,Turn-based Salesforce agent combining Claude Agent SDK or OpenAI Agents SDK
VS Code / Open VSX,AI Assistant by JetBrains,JetBrains,https://marketplace.visualstudio.com/items?itemName=JetBrains.jetbrains-ai-assistant,"JetBrains AI coding agent, chat, and code completion for VS Code"
VS Code / Open VSX,AI Commit,Sitoi,https://marketplace.visualstudio.com/items?itemName=Sitoi.ai-commit,OpenAI/Gemini/Claude-based git change review and conventional commit generation
VS Code / Open VSX,AI QuickFix,Double Technologies,https://marketplace.visualstudio.com/items?itemName=HaselerDev.aiquickfix,One-click ChatGPT/GPT-4 lightbulb fixes for linter and editor problems
VS Code / Open VSX,AI Smart Coder,Ainity,https://marketplace.visualstudio.com/items?itemName=Ainity.SmartAICoder,"AI-generated unit tests, code review, documentation, and error fixes with ChatGPT"
VS Code / Open VSX,Aide,nicepkg,https://marketplace.visualstudio.com/items?itemName=nicepkg.aide-pro,"One-click comments, conversions, UI-to-code, and AI batch processing of files"
VS Code / Open VSX,AllAi Code,OSF Digital,https://marketplace.visualstudio.com/items?itemName=OSFDigital.wingman,AI coding assistant for Salesforce professionals
VS Code / Open VSX,"Alva - AI Assistant, Chat & Code Lab",Alva AI,https://marketplace.visualstudio.com/items?itemName=AlvaAI.Alva,"Autocorrect, secure, test, and improve code with AI"
VS Code / Open VSX,Antigravity for VS Code,lyadhgod,https://marketplace.visualstudio.com/items?itemName=lyadhgod.antigravity-vscode,Brings Google's Antigravity CLI agentic coding companion into VS Code
VS Code / Open VSX,Aone Copilot,Aone,https://marketplace.visualstudio.com/items?itemName=Aone.aone-copilot,Alibaba internal AI code completion plugin
VS Code / Open VSX,App Developer Copilot,Sinduja Ramaraj,https://marketplace.visualstudio.com/items?itemName=sindujaramaraj.app-developer-copilot,App developer agent for creating web and mobile apps
VS Code / Open VSX,AppMap,AppMap,https://marketplace.visualstudio.com/items?itemName=appland.appmap,AI chat (Navie) with runtime understanding of your code for building solutions
VS Code / Open VSX,"Atlassian: Jira, Rovo Dev, Bitbucket",atlassian,https://open-vsx.org/extension/atlassian/atlascode,Atlassian Rovo Dev coding agent plus Jira/Bitbucket integration in VS Code
VS Code / Open VSX,Azad Coder (GPT 5 & Claude),kodu-ai,https://marketplace.visualstudio.com/items?itemName=kodu-ai.claude-dev-experimental,AI pair programmer powered by Claude and GPT-5 (Cline fork)
VS Code / Open VSX,Bandit Stealth,BurtsonLabs,https://open-vsx.org/extension/BurtsonLabs/bandit-stealth,"Local-first coding agent running Ollama models with tool use, diff approvals, and voice"
VS Code / Open VSX,Bito AI Code Reviews,Bito,https://marketplace.visualstudio.com/items?itemName=Bito.Bito,"Agentic, codebase-aware AI code reviews in the IDE without creating a PR"
VS Code / Open VSX,BLACKBOXAI #1 AI Coding Agent and Coding Copilot,BLACKBOXAI,https://marketplace.visualstudio.com/items?itemName=Blackboxapp.blackbox,"AI coding assistant with real-time code completion, documentation, and debugging suggestions"
VS Code / Open VSX,Calva Backseat Driver,betterthantomorrow,https://open-vsx.org/extension/betterthantomorrow/calva-backseat-driver,Makes Copilot an interactive Clojure programmer with REPL tools
VS Code / Open VSX,Captain Stack,Captain Stack,https://marketplace.visualstudio.com/items?itemName=captainstack.captain-stack,Code suggestions from AI and StackOverflow/Gist
VS Code / Open VSX,ChatGPT [deprecated],Ali Gençay,https://marketplace.visualstudio.com/items?itemName=gencay.vscode-chatgpt,Unofficial VS Code ChatGPT integration with code generation/editing
VS Code / Open VSX,ChatGPT Batch,Chad Bumstead,https://marketplace.visualstudio.com/items?itemName=ChadBumstead.vscode-chatgpt-batch,Multi-file batch changes such as refactoring and unit test generation via ChatGPT
VS Code / Open VSX,ChatIDE,ChatIDE,https://marketplace.visualstudio.com/items?itemName=ChatIDE.chatide,Open-source coding and debugging assistant supporting GPT and Claude
VS Code / Open VSX,Claude Autopilot,benbasha,https://open-vsx.org/extension/benbasha/claude-autopilot,Automated Claude Code task management with queue processing and auto-resume
VS Code / Open VSX,Codaro,Codaro,https://open-vsx.org/extension/Codaro/Codaro,"Agentic code review catching security leaks, logic errors, and AI hallucinations locally"
VS Code / Open VSX,Code Web Chat,robertpiosik,https://open-vsx.org/extension/robertpiosik/gemini-coder,AI coding with static context (CWC)
VS Code / Open VSX,CodeArts Agent,Huawei Cloud,https://marketplace.visualstudio.com/items?itemName=HuaweiCloud.vscode-codebot,Huawei Cloud AI coding agent
VS Code / Open VSX,CodeMate AI - Full Stack Coding Agent,CodeMate AI,https://marketplace.visualstudio.com/items?itemName=AyushSinghal.Code-Mate,On-device AI coding agent automating the software development flow
VS Code / Open VSX,CodeRider,JiHu-GitLab,https://marketplace.visualstudio.com/items?itemName=Jihu-GitLab.coderider-kilo,GitLab China (JiHu) agentic coding extension
VS Code / Open VSX,ContextCode by ContextStream,contextstream,https://open-vsx.org/extension/contextstream/contextcode,"Context-native coding agent with memory, model routing, and reviewable output"
VS Code / Open VSX,Crispy,the-sylvester,https://open-vsx.org/extension/the-sylvester/crispy,GUI for Claude Code and Codex with multi-agent orchestration and adversarial verification
VS Code / Open VSX,Cypress Copilot,Suresh Nettur,https://marketplace.visualstudio.com/items?itemName=SureshNettur.ccaia,Automates web testing by generating Cypress and Cucumber/BDD code
VS Code / Open VSX,Debugg AI,debugg-ai,https://open-vsx.org/extension/debugg-ai/debugg-ai,Zero-config fully AI-managed end-to-end testing
VS Code / Open VSX,DeepSeek Code Generator,Peter' Studio,https://marketplace.visualstudio.com/items?itemName=DavidDai.deepseek-code-generator,Generate code using DeepSeek AI
VS Code / Open VSX,DeepSeek R1,colourafredi,https://marketplace.visualstudio.com/items?itemName=colourafredi.vscode-deepseek,"Write, review, explain, refactor, and test code with DeepSeek models"
VS Code / Open VSX,DeepSource Autofix AI,DeepSource Corp,https://marketplace.visualstudio.com/items?itemName=DeepSourceCorp.deepsource-vscode,Static analysis with AI-powered autofix
VS Code / Open VSX,Devin Sessions - AI Coding Assistant,Thanks Ben,https://marketplace.visualstudio.com/items?itemName=thanksben.devin-sessions,"View, manage, chat with, and create Devin AI sessions in the editor"
VS Code / Open VSX,Double,Double Technologies,https://marketplace.visualstudio.com/items?itemName=doublebot.doublebot,"AI coding assistant: chat, delegated edits, autocomplete with DeepSeek R1, o1, Sonnet"
VS Code / Open VSX,EarlyAI,EarlyAI,https://marketplace.visualstudio.com/items?itemName=Early-AI.EarlyAI,"Auto-generates verified unit tests for JavaScript, TypeScript, Python"
VS Code / Open VSX,Flexpilot,Flexpilot,https://marketplace.visualstudio.com/items?itemName=flexpilot.flexpilot-vscode-extension,Open-source native GitHub Copilot alternative
VS Code / Open VSX,Free Repo Agent,SUMITKUMARSINGH,https://open-vsx.org/extension/SUMITKUMARSINGH/free-repo-agent,Free repo-aware autonomous coding agent (DeepSeek) that edits files and runs commands
VS Code / Open VSX,Frontier: Figma to React,AnimaApp,https://marketplace.visualstudio.com/items?itemName=AnimaApp.vscode-anima,AI frontend assistant converting Figma to React using your design system
VS Code / Open VSX,Gemini Unit Test Generator,Zazmic,https://marketplace.visualstudio.com/items?itemName=Zazmic.palm-api-test-generator,Generate unit tests with Gemini language models
VS Code / Open VSX,GenAIScript,Microsoft,https://marketplace.visualstudio.com/items?itemName=genaiscript.genaiscript-vscode,Generative AI scripting for automating code and file transformations
VS Code / Open VSX,Granite.Code,redhat,https://open-vsx.org/extension/redhat/granitecode,Red Hat open-source coding assistant with local Granite AI models
VS Code / Open VSX,Groqopilot,Unclecode,https://marketplace.visualstudio.com/items?itemName=Unclecode.groqopilot,Llama3 + Groq fast coding assistant
VS Code / Open VSX,Haka AI Studio,HakaLabChile,https://open-vsx.org/extension/HakaLabChile/haka-ai-studio,AI test automation studio for Playwright and Selenium generating Gherkin tests
VS Code / Open VSX,Hope AI,bit,https://open-vsx.org/extension/bit/hope-ai,Bit's Hope AI component-driven code generation
VS Code / Open VSX,HuoHuaAI,huohuaai,https://marketplace.visualstudio.com/items?itemName=huohuaai.huohuaai,"Chinese AI programming assistant with completion, debugging, project creation"
VS Code / Open VSX,IBM Bob Premium Package for Java Modernization,IBM,https://open-vsx.org/extension/IBM/bob-java,"Java modernization agent with guided upgrades, migration, and unit test generation"
VS Code / Open VSX,IntelliCode,Microsoft,https://marketplace.visualstudio.com/items?itemName=VisualStudioExptTeam.vscodeintellicode,AI-assisted development
VS Code / Open VSX,IntelliCode for C# Dev Kit,Microsoft,https://marketplace.visualstudio.com/items?itemName=ms-dotnettools.vscodeintellicode-csharp,AI-assisted development for C# Dev Kit
VS Code / Open VSX,IntelliPHP - AI Suggestions for PHP,DEVSENSE,https://marketplace.visualstudio.com/items?itemName=DEVSENSE.intelli-php-vscode,Offline AI-assisted development for PHP
VS Code / Open VSX,Jovyan AI,jovyan-ai,https://open-vsx.org/extension/jovyan-ai/jovyan,AI copilot for data science in Jupyter notebooks using natural language
VS Code / Open VSX,Kade: AI Coding Agent,kade,https://open-vsx.org/extension/kade/kade,"Cline/RooCode/Kilo fork for AI-assisted coding, planning, and development"
VS Code / Open VSX,Koda,Koda,https://marketplace.visualstudio.com/items?itemName=Koda.koda,Russian AI service for developers (AI coding assistant)
VS Code / Open VSX,Kodezi AI,Kodezi,https://marketplace.visualstudio.com/items?itemName=kodezi.kodezi,AI autocorrect and dev-tool platform for programming productivity
VS Code / Open VSX,Llama Coder,Steve Korshakov,https://marketplace.visualstudio.com/items?itemName=ex3ndr.llama-coder,Self-hosted GitHub Copilot replacement using local Llama models
VS Code / Open VSX,llama-vscode,ggml.ai,https://marketplace.visualstudio.com/items?itemName=ggml-org.llama-vscode,Local LLM-assisted code completion using llama.cpp
VS Code / Open VSX,llm-vscode,Hugging Face,https://marketplace.visualstudio.com/items?itemName=HuggingFace.huggingface-vscode,LLM powered development with Hugging Face models
VS Code / Open VSX,Metabob: Debug and Refactor with AI,Metabob,https://marketplace.visualstudio.com/items?itemName=Metabob.metabob,Generative AI to automate debugging and refactoring Python code
VS Code / Open VSX,Mintlify Doc Writer,Mintlify,https://marketplace.visualstudio.com/items?itemName=mintlify.document,AI powered documentation writer for all major languages
VS Code / Open VSX,Mistral Code Enterprise,Mistral AI,https://marketplace.visualstudio.com/items?itemName=mistralai.mistral-code,AI coding copilot powered by Mistral coding models
VS Code / Open VSX,Monica Code,Monica Team,https://marketplace.visualstudio.com/items?itemName=MonicaIM.monica-code,The Monica AI code assistant
VS Code / Open VSX,Monk,monk,https://open-vsx.org/extension/monk/vscode-monk,Autonomous DevOps agent working inside the IDE
VS Code / Open VSX,MPLAB AI Coding Assistant,Microchip Technology,https://marketplace.visualstudio.com/items?itemName=Microchip.mplab-ai-coding-assistant,AI code assistant optimized for Microchip embedded products
