name	maker	url	extra	description	source
Builder.io Fusion	Builder.io	https://www.builder.io	vertical:UI generation	Visual Copilot/Fusion: design-to-code and AI visual editing agents	UI generation channel
Uizard	Miro	https://uizard.io	vertical:UI generation	AI UI design/prototype generator; acquired by Miro 2024	UI generation channel
Kombai	Kombai	https://kombai.com	vertical:UI generation	Frontend-specialized coding agent for complex UI codebases	UI generation channel
UX Pilot	UX Pilot	https://uxpilot.ai	vertical:UI generation	AI UI design generation with code export	UI generation channel
Codia AI	Codia	https://codia.ai	vertical:UI generation	Screenshot/Figma-to-code AI	UI generation channel
cubic	cubic (YC X25)	https://cubic.dev	vertical:code review	AI code review that cuts review bottlenecks	cbinsights YC Spring25
Baz	Baz	https://baz.co	vertical:code review	AI-native code review platform (Israel)	code review channel
Panto AI	Panto	https://www.pantoai.com	vertical:code review	AI code review with business context	code review channel
Korbit	Korbit AI	https://www.korbit.ai	vertical:code review	AI mentor/code review for PRs	code review channel
CodeAnt AI	CodeAnt (YC W24)	https://www.codeant.ai	vertical:code review	Code review + security analysis; $2M seed 2025 (India)	india.entrepreneur.com
Codacy	Codacy	https://www.codacy.com	vertical:code review	Code quality platform with AI review/fixes	code review channel
DeepSource	DeepSource	https://deepsource.com	vertical:code review	Static analysis with AI Autofix agents	developersdigest code review roundup
Diamond	Graphite	https://graphite.dev	vertical:code review	Graphite's AI code review agent; $52M Series B	code review channel
Optibot	Optimal AI	https://getoptimal.ai	vertical:code review	AI code review agent for engineering teams	getoptimal.ai blog
Macroscope	Macroscope	https://macroscope.com	vertical:code review	AI that summarizes and reviews code changes	macroscope.com content
Entelligence	Entelligence AI	https://www.entelligence.ai	vertical:code review	AI engineering intelligence + PR review	code review channel
Wispbit	Wispbit (YC)	https://wispbit.com	vertical:code review	Codebase-standards enforcement for AI-generated code	YC directory
Recurse ML	Recurse ML	https://recurse.ml	vertical:code review	ML-driven bug detection on diffs	code review channel
mrge	mrge (YC X25)	https://www.mrge.io	vertical:code review	AI-native code review workspace	YC directory
Kodus	Kodus	https://kodus.io	vertical:code review	Open-source-core AI code review agent (Brazil)	code review channel
LinearB AI	LinearB	https://linearb.io	vertical:code review	gitStream + AI code review inside eng-ops platform	code review channel
Jazzberry	Jazzberry (YC X25)	https://jazzberry.ai	vertical:bug finding	AI agent that finds bugs in pull requests	cbinsights YC Spring25
Momentic	Momentic	https://momentic.ai	vertical:testing	AI E2E testing platform; $18.7M raised, customers Notion/Retool	agentmarketcap.ai 2026/04/08
QA Wolf	QA Wolf	https://www.qawolf.com	vertical:testing	AI + human-backed 80% automated E2E coverage service	testing channel
Ranger	Ranger	https://www.ranger.net	vertical:testing	AI QA agents with human review ("cyborg" QA)	testing channel
Spur	Spur (YC S24)	https://www.ycombinator.com/companies/spur	vertical:testing	AI QA engineer that tests web apps from plain-English flows	YC directory
Meticulous	Meticulous	https://www.meticulous.ai	vertical:testing	Auto-generated visual/E2E tests from recorded user sessions	testing channel
Checksum	Checksum	https://checksum.ai	vertical:testing	AI-generated E2E tests from production sessions	testing channel
TestSprite	TestSprite	https://www.testsprite.com	vertical:testing	Autonomous testing agent for AI-generated code	testing channel
Autify	Autify	https://autify.com	vertical:testing	No-code AI testing (Nova/Zenes) (Japan)	testing channel
mabl	mabl	https://www.mabl.com	vertical:testing	AI-native test automation with agentic workflows	quashbugs emerging AI QA
testRigor	testRigor	https://testrigor.com	vertical:testing	Plain-English AI test automation	testing channel
Functionize	Functionize	https://www.functionize.com	vertical:testing	Agentic cloud test automation	testing channel
Testim	Tricentis	https://www.testim.io	vertical:testing	AI-stabilized UI test automation; acquired by Tricentis	testing channel
KaneAI	LambdaTest	https://www.lambdatest.com/kane-ai	vertical:testing	GenAI native test agent on LambdaTest cloud	testing channel
Keploy	Keploy	https://keploy.io	vertical:testing	Open-source-core API/unit test generation platform (India)	testing channel
Stably	Stably AI	https://www.stably.ai	vertical:testing	AI-powered E2E test automation	testing channel
Propolis	Propolis (YC X25)	https://www.ycombinator.com/companies/propolis	vertical:testing	Swarms of browser agents that autonomously QA web apps	cbinsights YC Spring25
Operative	Operative (YC)	https://www.ycombinator.com/companies/operative	vertical:testing	Browser agents that test what coding agents build	cbinsights YC Spring25
Quash	Quash	https://quashbugs.com	vertical:mobile testing	AI QA for mobile apps (India)	quashbugs.com blog
Shiplight	Shiplight AI	https://www.shiplight.ai	vertical:testing	Agentic QA platform	shiplight.ai blog
BlinqIO	BlinqIO	https://blinq.io	vertical:testing	AI test engineer (multi-agent) for web apps (Israel)	codenote.net AI testing startups 2026
Qualiti	Qualiti	https://www.qualiti.ai	vertical:testing	AI-driven automated QA service	testing channel
Bug0	Bug0	https://bug0.com	vertical:testing	Autonomous QA agents + human oversight	testing channel
Carbonate	Carbonate	https://carbonate.dev	vertical:testing	Plain-English AI browser test generation (UK)	testing channel
Askui	AskUI	https://www.askui.com	vertical:UI testing	Vision-based UI automation agent (Germany)	European ecosystem channel
Symflower	Symflower	https://symflower.com	vertical:test generation	Static-analysis-driven unit test generation for Java/Go (Austria)	dev.to Qodo vs Diffblue
Early	Early (startearly.ai)	https://www.startearly.ai	vertical:test generation	AI agent generating verified unit tests (Israel)	testing channel
Pixee	Pixee	https://www.pixee.ai	vertical:security fixing	Automated code-hardening/remediation agent (pixeebot)	pixee.ai remediation roundup
Mobb	Mobb	https://mobb.ai	vertical:security fixing	Auto-fixes SAST findings across scanners (Israel)	cyberflow auto-remediation market map
Corgea	Corgea	https://corgea.com	vertical:security fixing	AI SAST with automatic vulnerability fixes	corgea.com
ZeroPath	ZeroPath	https://zeropath.com	vertical:security fixing	AI-native scanning + verified security patches; RSAC 2026 Innovation Sandbox	securityboulevard.com RSAC 2026
Amplify Security	Amplify	https://www.amplify.security	vertical:security fixing	Auto-remediation of code vulnerabilities in CI	security channel
DryRun Security	DryRun	https://www.dryrun.security	vertical:security review	AI-native contextual security code review	security channel
Aikido Autofix	Aikido Security	https://www.aikido.dev	vertical:security fixing	AI autofix PRs for vulnerabilities (Belgium)	security channel
Nullify	Nullify	https://www.nullify.ai	vertical:security fixing	AI AppSec engineer for finding/fixing vulns	security channel
XBOW	XBOW	https://xbow.com	vertical:offensive security	Autonomous pentesting agent that writes/executes exploits	codenote.net AI testing startups
Sentry Seer	Sentry	https://sentry.io	vertical:debugging	AI debugging agent: RCA from telemetry + fix PRs + PR review	sentry.io press release
Resolve.ai	Resolve AI	https://resolve.ai	vertical:SRE/debugging	AI production engineer for incident RCA and remediation	AI SRE channel
Traversal	Traversal	https://traversal.com	vertical:SRE/debugging	AI SRE for root-cause analysis in complex systems	fluidify.ai AI SRE tools 2026
Cleric	Cleric	https://cleric.ai	vertical:SRE/debugging	Self-learning AI SRE agent; Gartner Cool Vendor 2025	betterstack cleric alternatives
Parity	Parity (YC)	https://www.ycombinator.com/companies/parity	vertical:SRE/debugging	AI SRE that investigates alerts before you open your laptop	YC directory
Deductive AI	Deductive	https://www.deductive.ai	vertical:debugging	Code-aware reasoning engine for production issue RCA	AI SRE channel
PlayerZero	PlayerZero	https://www.playerzero.ai	vertical:debugging	AI that connects product defects to code changes and fixes	debugging channel
Bits AI	Datadog	https://www.datadoghq.com	vertical:SRE/debugging	Datadog's AI agents for incident investigation and dev fixes	AI SRE channel
incident.io AI SRE	incident.io	https://incident.io	vertical:SRE/debugging	Autonomous incident investigation agent (UK)	AI SRE channel
Latta	Latta AI	https://latta.ai	vertical:debugging	AI bug-fixing agent from runtime error snapshots (Czechia)	European ecosystem channel
RunLLM	RunLLM	https://www.runllm.com	vertical:support/debugging	AI support engineer that debugs product issues from logs/code	debugging channel
Mintlify	Mintlify	https://mintlify.com	vertical:documentation	AI-native docs platform with autonomous writing agent	docuwriter/techiehub docs roundups
Swimm	Swimm	https://swimm.io	vertical:documentation	Code-coupled docs + legacy/mainframe code understanding (Israel)	docs channel
Komment	Komment	https://komment.ai	vertical:documentation	Pipeline-driven codebase documentation generation	docs channel
DocuWriter	DocuWriter.ai	https://www.docuwriter.ai	vertical:documentation	AI code and API doc generation	docs channel
Theneo	Theneo (YC)	https://www.theneo.io	vertical:API documentation	AI-generated Stripe-quality API docs	YC directory
Unblocked	Unblocked	https://getunblocked.com	vertical:code Q&A	AI answers about your codebase from code+Slack+Jira context	docs channel
Driver AI	Driver	https://www.driver.ai	vertical:code understanding	Explains massive legacy/embedded codebases for modernization; $50M+ raised	docs channel
DeepWiki	Cognition	https://deepwiki.com	vertical:code understanding	Auto-generated interactive wikis for any repo (Devin infrastructure)	docs channel
Nia	Nia (YC)	https://www.trynia.ai	vertical:agent context	Codebase+docs context API feeding coding agents	YC directory
Seek AI	Seek	https://www.seek.ai	vertical:SQL	Natural-language-to-SQL enterprise data agent	sketricgen text-to-SQL roundup
TextQL	TextQL	https://textql.com	vertical:SQL/data	AI analyst (Ana) generating SQL/python over enterprise data	aiagentslist.com TextQL
Numbers Station	Numbers Station	https://numbersstation.ai	vertical:data/SQL	AI agents for enterprise data stack automation	data channel
Gibson AI	GibsonAI	https://gibsonai.com	vertical:database	Text-to-database design/migration agent	data channel
dbt Copilot	dbt Labs	https://www.getdbt.com	vertical:data engineering	AI engineer in dbt for models, tests, docs	data channel
Mechanical Orchard	Mechanical Orchard	https://www.mechanical-orchard.com	vertical:mainframe migration	AI-driven mainframe rewrite platform (Imogen); Gartner Cool Vendor	businesswire / modernization channel
Moderne	Moderne	https://www.moderne.io	vertical:refactoring/migration	Mass-scale automated refactoring (OpenRewrite core) + Moddy agent	modernization channel
Codemod	Codemod	https://codemod.com	vertical:migration	Agentic large-scale code migration platform (open-source core)	tracxn.com/codemod
ModelCode	ModelCode AI	https://www.modelcode.ai	vertical:migration	AI legacy code modernization at scale	modernization channel
Lingo.dev	Lingo.dev (ex Replexica)	https://lingo.dev	vertical:i18n	AI localization engineer that ships translated code (YC)	YC directory
Stakpak	Stakpak	https://stakpak.dev	vertical:DevOps	AI DevOps agent for infrastructure code	YC directory
Cased	Cased	https://cased.com	vertical:DevOps	AI DevOps/deployment automation agents	DevOps channel
Kubiya	Kubiya	https://www.kubiya.ai	vertical:DevOps	Agentic DevOps automation (Israel)	DevOps channel
Pulumi Neo	Pulumi	https://www.pulumi.com	vertical:IaC	AI agent that writes/updates infrastructure-as-code	DevOps channel
CodeParrot	CodeParrot	https://codeparrot.ai	vertical:UI generation	Figma-to-code VS Code extension (India)	Indian ecosystem channel
IntelliCode	Microsoft	https://marketplace.visualstudio.com/items?itemName=VisualStudioExptTeam.vscodeintellicode	62222124	AI-assisted development	vscode-marketplace
IntelliPHP - AI Suggestions for PHP	DEVSENSE	https://marketplace.visualstudio.com/items?itemName=DEVSENSE.intelli-php-vscode	5862779	Offline AI-assisted development for PHP	vscode-marketplace
BLACKBOXAI #1 AI Coding Agent and Coding Copilot	BLACKBOXAI	https://marketplace.visualstudio.com/items?itemName=Blackboxapp.blackbox	5350400	AI coding assistant with real-time code completion, documentation, and debugging suggestions	vscode-marketplace
IntelliCode for C# Dev Kit	Microsoft	https://marketplace.visualstudio.com/items?itemName=ms-dotnettools.vscodeintellicode-csharp	4305860	AI-assisted development for C# Dev Kit	vscode-marketplace
TraeCode: Coding Assistant	MarsCode	https://marketplace.visualstudio.com/items?itemName=MarsCode.marscode-extension	1907486	ByteDance Trae/MarsCode AI coding assistant	vscode-marketplace
Mintlify Doc Writer	Mintlify	https://marketplace.visualstudio.com/items?itemName=mintlify.document	1383223	AI powered documentation writer for all major languages	vscode-marketplace
Bito AI Code Reviews	Bito	https://marketplace.visualstudio.com/items?itemName=Bito.Bito	948073	Agentic, codebase-aware AI code reviews in the IDE without creating a PR	vscode-marketplace
Kade: AI Coding Agent	kade	https://open-vsx.org/extension/kade/kade	919943	Cline/RooCode/Kilo fork for AI-assisted coding, planning, and development	open-vsx
Agentforce Vibes	Salesforce	https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-einstein-gpt	887091	Generative AI development for the Salesforce Platform	vscode-marketplace
Atlassian: Jira, Rovo Dev, Bitbucket	atlassian	https://open-vsx.org/extension/atlassian/atlascode	741258	Atlassian Rovo Dev coding agent plus Jira/Bitbucket integration in VS Code	open-vsx
ChatGPT [deprecated]	Ali Gençay	https://marketplace.visualstudio.com/items?itemName=gencay.vscode-chatgpt	556875	Unofficial VS Code ChatGPT integration with code generation/editing	vscode-marketplace
Sixth AI Coding Assistant	Sixth	https://marketplace.visualstudio.com/items?itemName=Sixth.sixth-ai	460740	Lightweight AI coding platform with agent, copilot, debugger, code generation across many models	vscode-marketplace
Code Web Chat	robertpiosik	https://open-vsx.org/extension/robertpiosik/gemini-coder	410960	AI coding with static context (CWC)	open-vsx
SASVA - Generative and Deterministic AI Platform	Persistent	https://marketplace.visualstudio.com/items?itemName=Persistent.sasva	303329	Persistent Systems generative AI software engineering platform	vscode-marketplace
Codaro	Codaro	https://open-vsx.org/extension/Codaro/Codaro	262709	Agentic code review catching security leaks, logic errors, and AI hallucinations locally	open-vsx
DeepSeek R1	colourafredi	https://marketplace.visualstudio.com/items?itemName=colourafredi.vscode-deepseek	257012	Write, review, explain, refactor, and test code with DeepSeek models	vscode-marketplace
WAVE AI Code Review & Analysis	Developer Productivity	https://marketplace.visualstudio.com/items?itemName=devprod.vulnerability-extension	209077	AI-powered code review and analysis inside VS Code	vscode-marketplace
OpenChamber	FedaykinDev	https://open-vsx.org/extension/FedaykinDev/openchamber	204632	AI coding assistant powered by OpenCode	open-vsx
Volar	VolarTools	https://marketplace.visualstudio.com/items?itemName=VolarTools.volar-ai	147752	Plan, Review & Build with AI	vscode-marketplace
DeepSeek Code Generator	Peter' Studio	https://marketplace.visualstudio.com/items?itemName=DavidDai.deepseek-code-generator	143828	Generate code using DeepSeek AI	vscode-marketplace
Pieces for VS Code	Mesh Intelligent Technologies	https://marketplace.visualstudio.com/items?itemName=MeshIntelligentTechnologiesInc.pieces-vscode	142339	On-device storage agent and AI coding assistant across the toolchain	vscode-marketplace
Azad Coder (GPT 5 & Claude)	kodu-ai	https://marketplace.visualstudio.com/items?itemName=kodu-ai.claude-dev-experimental	138901	AI pair programmer powered by Claude and GPT-5 (Cline fork)	vscode-marketplace
twinny - AI Code Completion and Chat	rjmacarthy	https://open-vsx.org/extension/rjmacarthy/twinny	128863	Locally hosted AI code completion and chat plugin	open-vsx
Metabob: Debug and Refactor with AI	Metabob	https://marketplace.visualstudio.com/items?itemName=Metabob.metabob	112512	Generative AI to automate debugging and refactoring Python code	vscode-marketplace
Kodezi AI	Kodezi	https://marketplace.visualstudio.com/items?itemName=kodezi.kodezi	105361	AI autocorrect and dev-tool platform for programming productivity	vscode-marketplace
Zoo Code	ZooCodeOrganization	https://open-vsx.org/extension/ZooCodeOrganization/zoo-code	94345	A whole dev team of AI agents in your editor (Roo fork)	open-vsx
CodeMate AI - Full Stack Coding Agent	CodeMate AI	https://marketplace.visualstudio.com/items?itemName=AyushSinghal.Code-Mate	83817	On-device AI coding agent automating the software development flow	vscode-marketplace
Llama Coder	Steve Korshakov	https://marketplace.visualstudio.com/items?itemName=ex3ndr.llama-coder	82449	Self-hosted GitHub Copilot replacement using local Llama models	vscode-marketplace
llm-vscode	Hugging Face	https://marketplace.visualstudio.com/items?itemName=HuggingFace.huggingface-vscode	75004	LLM powered development with Hugging Face models	vscode-marketplace
AppMap	AppMap	https://marketplace.visualstudio.com/items?itemName=appland.appmap	71709	AI chat (Navie) with runtime understanding of your code for building solutions	vscode-marketplace
Abacus AI Agent	abacusai	https://open-vsx.org/extension/abacusai/abacusai-agent	69579	AI-powered coding assistant/agent for VS Code	open-vsx
AI QuickFix	Double Technologies	https://marketplace.visualstudio.com/items?itemName=HaselerDev.aiquickfix	68510	One-click ChatGPT/GPT-4 lightbulb fixes for linter and editor problems	vscode-marketplace
Bandit Stealth	BurtsonLabs	https://open-vsx.org/extension/BurtsonLabs/bandit-stealth	66848	Local-first coding agent running Ollama models with tool use, diff approvals, and voice	open-vsx
VSCode Ollama	warm3snow	https://marketplace.visualstudio.com/items?itemName=warm3snow.vscode-ollama	65402	Integrates Ollama local LLM capabilities into development workflow	vscode-marketplace
ABAP remote filesystem	Marcello Urbani	https://marketplace.visualstudio.com/items?itemName=murbani.vscode-abap-remote-fs	64028	VS Code-based agentic AI platform for SAP ABAP development	vscode-marketplace
Double	Double Technologies	https://marketplace.visualstudio.com/items?itemName=doublebot.doublebot	61759	AI coding assistant: chat, delegated edits, autocomplete with DeepSeek R1, o1, Sonnet	vscode-marketplace
Refact – Open-Source AI Agent	smallcloud	https://marketplace.visualstudio.com/items?itemName=smallcloud.codify	60557	Open-source AI agent that autonomously handles engineering tasks end-to-end	vscode-marketplace
Frontier: Figma to React	AnimaApp	https://marketplace.visualstudio.com/items?itemName=AnimaApp.vscode-anima	60175	AI frontend assistant converting Figma to React using your design system	vscode-marketplace
ContextCode by ContextStream	contextstream	https://open-vsx.org/extension/contextstream/contextcode	58937	Context-native coding agent with memory, model routing, and reviewable output	open-vsx
CodeArts Agent	Huawei Cloud	https://marketplace.visualstudio.com/items?itemName=HuaweiCloud.vscode-codebot	50964	Huawei Cloud AI coding agent	vscode-marketplace
Ponicode	Ponicode	https://marketplace.visualstudio.com/items?itemName=ponicode.ponicode	48068	AI-powered JavaScript unit test generation	vscode-marketplace
AI Smart Coder	Ainity	https://marketplace.visualstudio.com/items?itemName=Ainity.SmartAICoder	47428	AI-generated unit tests, code review, documentation, and error fixes with ChatGPT	vscode-marketplace
StackSpot AI	Stackspot AI	https://marketplace.visualstudio.com/items?itemName=StackspotAI.StackSpotAI	45404	AI tool with code generation and chat capabilities	vscode-marketplace
Alva - AI Assistant, Chat & Code Lab	Alva AI	https://marketplace.visualstudio.com/items?itemName=AlvaAI.Alva	44026	Autocorrect, secure, test, and improve code with AI	vscode-marketplace
MPLAB AI Coding Assistant	Microchip Technology	https://marketplace.visualstudio.com/items?itemName=Microchip.mplab-ai-coding-assistant	43507	AI code assistant optimized for Microchip embedded products	vscode-marketplace
Aide	nicepkg	https://marketplace.visualstudio.com/items?itemName=nicepkg.aide-pro	41538	One-click comments, conversions, UI-to-code, and AI batch processing of files	vscode-marketplace
llama-vscode	ggml.ai	https://marketplace.visualstudio.com/items?itemName=ggml-org.llama-vscode	41188	Local LLM-assisted code completion using llama.cpp	vscode-marketplace
Monica Code	Monica Team	https://marketplace.visualstudio.com/items?itemName=MonicaIM.monica-code	40589	The Monica AI code assistant	vscode-marketplace
Rubberduck - ChatGPT for Visual Studio Code	Rubberduck AI	https://marketplace.visualstudio.com/items?itemName=Rubberduck.rubberduck-vscode	40266	Generate code, edit code, generate tests, find bugs, diagnose errors with ChatGPT	vscode-marketplace
Koda	Koda	https://marketplace.visualstudio.com/items?itemName=Koda.koda	39030	Russian AI service for developers (AI coding assistant)	vscode-marketplace
Verdent for VS Code	verdentai	https://open-vsx.org/extension/verdentai/verdent	37402	All-in-one coding agent orchestrating top-tier AI models; high SWE-bench Verified score	open-vsx
Zhanlu - AI Coding Assistant	湛卢	https://marketplace.visualstudio.com/items?itemName=ecloud.zhanlu	36032	Chinese AI coding partner with automatic code generation	vscode-marketplace
Safurai - AI Assistant	Safurai	https://marketplace.visualstudio.com/items?itemName=Safurai.Safurai	35222	AI assistant plugin for searching, changing, and improving code	vscode-marketplace
AI Commit	Sitoi	https://marketplace.visualstudio.com/items?itemName=Sitoi.ai-commit	34210	OpenAI/Gemini/Claude-based git change review and conventional commit generation	vscode-marketplace
Mistral Code Enterprise	Mistral AI	https://marketplace.visualstudio.com/items?itemName=mistralai.mistral-code	33758	AI coding copilot powered by Mistral coding models	vscode-marketplace
Antigravity for VS Code	lyadhgod	https://marketplace.visualstudio.com/items?itemName=lyadhgod.antigravity-vscode	33603	Brings Google's Antigravity CLI agentic coding companion into VS Code	vscode-marketplace
WiseGPT (Coding Assistant by DhiWise)	DhiWise	https://marketplace.visualstudio.com/items?itemName=dhiwisepvtltd.dhiwisecodesync	32570	Analyzes your codebase to produce personalized production-ready code	vscode-marketplace
Monk	monk	https://open-vsx.org/extension/monk/vscode-monk	30963	Autonomous DevOps agent working inside the IDE	open-vsx
Captain Stack	Captain Stack	https://marketplace.visualstudio.com/items?itemName=captainstack.captain-stack	30788	Code suggestions from AI and StackOverflow/Gist	vscode-marketplace
